index	EDU_1	EDU_2	Relation	num_of_words_1	avg_word_len_1	upcase_words_num_1	num_unique_words_1	count_words_title_1	mean_word_len_1	words_vs_unique_1	num_of_words_2	avg_word_len_2	upcase_words_num_2	num_unique_words_2	count_words_title_2	mean_word_len_2	words_vs_unique_2	bleu_score	nouns_count_1	verbs_count_1	adj_count_1	adv_count_1	aux_count_1	num_count_1	vbd_count_1	nouns_vs_words_1	adjectives_vs_words_1	verbs_vs_words_1	adp_count_1	cconj_count_1	sconj_count_1	part_count_1	pron_count_1	nouns_count_2	verbs_count_2	adj_count_2	adv_count_2	aux_count_2	num_count_2	vbd_count_2	nouns_vs_words_2	adjectives_vs_words_2	verbs_vs_words_2	adp_count_2	cconj_count_2	sconj_count_2	part_count_2	pron_count_2
0	где-нибудь в предгорьях на Кавказе	действие происходит где-нибудь на юге там	elaboration_r	5	6.0	1	5	1	6.0	1.0	6	6.0	0	6	0	6.0	1.0	0.7963330593811955	1	0	0	1	0	0	0	0.2	0.0	0.0	2	0	0	0	0	2	1	0	2	0	0	0	0.3333333333333333	0.0	0.16666666666666666	1	0	0	0	0
1	либо в средней азии	действие происходит где-нибудь на юге там	contrast_m	4	4.0	0	4	0	4.0	1.0	6	6.0	0	6	0	6.0	1.0	0.6439209162167846	1	0	1	0	0	0	0	0.25	0.25	0.0	1	1	0	0	0	2	1	0	2	0	0	0	0.3333333333333333	0.0	0.16666666666666666	1	0	0	0	0
2	который груши собирает	мужчина лет сорока пяти там	elaboration_r	3	6.666666666666667	0	3	0	6.666666666666667	1.0	5	4.6	0	5	0	4.6	1.0	0.7200822998230956	1	1	0	0	0	0	0	0.3333333333333333	0.0	0.3333333333333333	0	0	0	0	1	2	0	0	1	0	2	0	0.4	0.0	0.0	0	0	0	0	0
3	взял лестницу	мужчина лет сорока пяти там	joint_m	2	6.0	0	2	0	6.0	1.0	5	4.6	0	5	0	4.6	1.0	0.5773502691896257	1	1	0	0	0	0	0	0.5	0.0	0.5	0	0	0	0	0	2	0	0	1	0	2	0	0.4	0.0	0.0	0	0	0	0	0
4	по лестнице на дерево там	мужчина лет сорока пяти там	elaboration_r	5	4.2	0	5	0	4.2	1.0	5	4.6	0	5	0	4.6	1.0	0.816496580927726	2	0	0	1	0	0	0	0.4	0.0	0.0	2	0	0	0	0	2	0	0	1	0	2	0	0.4	0.0	0.0	0	0	0	0	0
5	на дереве очень много груш сам	мужчина лет сорока пяти там	antithesis_r	6	4.166666666666667	0	6	0	4.166666666666667	1.0	5	4.6	0	5	0	4.6	1.0	0.6888476272589829	2	0	1	2	0	0	0	0.3333333333333333	0.16666666666666666	0.0	1	0	0	0	0	2	0	0	1	0	2	0	0.4	0.0	0.0	0	0	0	0	0
6	урожай тот же	на дереве очень много груш сам	background_r	3	3.6666666666666665	0	3	0	3.6666666666666665	1.0	6	4.166666666666667	0	6	0	4.166666666666667	1.0	0.5163977794943222	1	0	0	0	0	0	0	0.3333333333333333	0.0	0.0	0	0	0	1	0	2	0	1	2	0	0	0	0.3333333333333333	0.16666666666666666	0.0	1	0	0	0	0
7	уже скоро конец лета уже	на дереве очень много груш сам	background_r	5	4.0	0	4	0	4.0	0.8	6	4.166666666666667	0	6	0	4.166666666666667	1.0	0.7302967433402214	2	0	0	3	0	0	0	0.4	0.0	0.0	0	0	0	0	0	2	0	1	2	0	0	0	0.3333333333333333	0.16666666666666666	0.0	1	0	0	0	0
8	вот так собрал там	мужчина лет сорока пяти там	sequence_m	4	3.75	0	4	0	3.75	1.0	5	4.6	0	5	0	4.6	1.0	0.769800358919501	0	1	0	2	0	0	0	0.0	0.0	0.25	0	0	0	1	0	2	0	0	1	0	2	0	0.4	0.0	0.0	0	0	0	0	0
9	две корзинки собрал	вот так собрал там	cause_r	3	5.666666666666667	0	3	0	5.666666666666667	1.0	4	3.75	0	4	0	3.75	1.0	0.7394905335190823	1	1	0	0	0	1	0	0.3333333333333333	0.0	0.3333333333333333	0	0	0	0	0	0	1	0	2	0	0	0	0.0	0.0	0.25	0	0	0	1	0
10	третью собрать не успел там	вот так собрал там	sequence_m	5	4.6	0	5	0	4.6	1.0	4	3.75	0	4	0	3.75	1.0	0.534909762711857	0	2	1	1	0	0	0	0.0	0.2	0.4	0	0	0	1	0	0	1	0	2	0	0	0	0.0	0.0	0.25	0	0	0	1	0
11	потом мальчик на велосипеде подъезжает	мужчина лет сорока пяти там	sequence_m	5	6.8	0	5	0	6.8	1.0	5	4.6	0	5	0	4.6	1.0	0.6141115238185401	2	1	0	1	0	0	0	0.4	0.0	0.2	1	0	0	0	0	2	0	0	1	0	2	0	0.4	0.0	0.0	0	0	0	0	0
12	велосипед нрзб	потом мальчик на велосипеде подъезжает	elaboration_r	2	6.5	0	2	0	6.5	1.0	5	6.8	0	5	0	6.8	1.0	0.5619514869490163	1	0	0	0	0	0	0	0.5	0.0	0.0	0	0	0	0	0	2	1	0	1	0	0	0	0.4	0.0	0.2	1	0	0	0	0
13	другой велосипед	велосипед нрзб	elaboration_r	2	7.5	0	2	0	7.5	1.0	2	6.5	0	2	0	6.5	1.0	0.7684051304872667	1	0	1	0	0	0	0	0.5	0.5	0.0	0	0	0	0	0	1	0	0	0	0	0	0	0.5	0.0	0.0	0	0	0	0	0
14	не такие	велосипед нрзб	elaboration_r	2	3.5	0	2	0	3.5	1.0	2	6.5	0	2	0	6.5	1.0	0.5976143046671969	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	1	0	1	0	0	0	0	0	0	0.5	0.0	0.0	0	0	0	0	0
15	как было всегда	не такие	joint_m	3	4.333333333333333	0	3	0	4.333333333333333	1.0	2	3.5	0	2	0	3.5	1.0	0.2947659609337933	0	1	0	1	0	0	0	0.0	0.0	0.3333333333333333	0	0	1	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	1	0
16	как в Москве там	не такие	joint_m	4	3.25	1	4	1	3.25	1.0	2	3.5	0	2	0	3.5	1.0	0.2908342346129199	0	0	0	1	0	0	0	0.0	0.0	0.0	1	0	1	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	1	0
17	у меня был велосипед импортный	велосипед нрзб	evidence_r	5	5.2	0	5	0	5.2	1.0	2	6.5	0	2	0	6.5	1.0	0.3073060480036786	1	1	1	0	0	0	0	0.2	0.2	0.2	1	0	0	0	1	1	0	0	0	0	0	0	0.5	0.0	0.0	0	0	0	0	0
18	националпартород стран	у меня был велосипед импортный	restatement_r	2	10.5	0	2	0	10.5	1.0	5	5.2	0	5	0	5.2	1.0	0.6324555320336759	2	0	0	0	0	0	0	1.0	0.0	0.0	0	0	0	0	0	1	1	1	0	0	0	0	0.2	0.2	0.2	1	0	0	0	1
19	мальчик взял корзину	мужчина лет сорока пяти там	sequence_m	3	6.0	0	3	0	6.0	1.0	5	4.6	0	5	0	4.6	1.0	0.7200822998230956	2	1	0	0	0	0	0	0.6666666666666666	0.0	0.3333333333333333	0	0	0	0	0	2	0	0	1	0	2	0	0.4	0.0	0.0	0	0	0	0	0
20	поставил её на передний бампер велосипеда	мальчик взял корзину	sequence_m	6	6.0	0	6	0	6.0	1.0	3	6.0	0	3	0	6.0	1.0	0.27106061490336286	2	1	1	0	0	0	0	0.3333333333333333	0.16666666666666666	0.16666666666666666	1	0	0	0	1	2	1	0	0	0	0	0	0.6666666666666666	0.0	0.3333333333333333	0	0	0	0	0
21	по-особенному поставил её	поставил её на передний бампер велосипеда	elaboration_r	3	7.666666666666667	0	3	0	7.666666666666667	1.0	6	6.0	0	6	0	6.0	1.0	0.6984302957695782	0	1	0	1	0	0	0	0.0	0.0	0.3333333333333333	0	0	0	0	1	2	1	1	0	0	0	0	0.3333333333333333	0.16666666666666666	0.16666666666666666	1	0	0	0	1
22	повёз её	мальчик взял корзину	sequence_m	2	3.5	0	2	0	3.5	1.0	3	6.0	0	3	0	6.0	1.0	0.447213595499958	0	1	0	0	0	0	0	0.0	0.0	0.5	0	0	0	0	1	2	1	0	0	0	0	0	0.6666666666666666	0.0	0.3333333333333333	0	0	0	0	0
23	едет едет там	мужчина лет сорока пяти там	sequence_m	3	3.6666666666666665	0	2	0	3.6666666666666665	0.6666666666666666	5	4.6	0	5	0	4.6	1.0	0.5443310539518174	0	2	0	1	0	0	0	0.0	0.0	0.6666666666666666	0	0	0	0	0	2	0	0	1	0	2	0	0.4	0.0	0.0	0	0	0	0	0
24	едет с горки помайне	едет едет там	background_r	4	4.25	0	4	0	4.25	1.0	3	3.6666666666666665	0	2	0	3.6666666666666665	0.6666666666666666	0.48562239187831224	1	1	0	1	0	0	0	0.25	0.0	0.25	1	0	0	0	0	0	2	0	1	0	0	0	0.0	0.0	0.6666666666666666	0	0	0	0	0
25	и едет там навстречу какая-то девочка	едет едет там	sequence_m	6	5.333333333333333	0	6	0	5.333333333333333	1.0	3	3.6666666666666665	0	2	0	3.6666666666666665	0.6666666666666666	0.15784308913485165	1	1	0	2	0	0	0	0.16666666666666666	0.0	0.16666666666666666	0	1	0	0	0	0	2	0	1	0	0	0	0.0	0.0	0.6666666666666666	0	0	0	0	0
26	за неё толкнётся	едет едет там	sequence_m	3	4.666666666666667	0	3	0	4.666666666666667	1.0	3	3.6666666666666665	0	2	0	3.6666666666666665	0.6666666666666666	0.5393642354005828	0	1	0	0	0	0	0	0.0	0.0	0.3333333333333333	1	0	0	0	1	0	2	0	1	0	0	0	0.0	0.0	0.6666666666666666	0	0	0	0	0
27	вот так	едет едет там	evaluation_r	2	3.0	0	2	0	3.0	1.0	3	3.6666666666666665	0	2	0	3.6666666666666665	0.6666666666666666	0.5547001962252291	0	0	0	1	0	0	0	0.0	0.0	0.0	0	0	0	1	0	0	2	0	1	0	0	0	0.0	0.0	0.6666666666666666	0	0	0	0	0
28	потом об камень ударил велосипед	мужчина лет сорока пяти там	sequence_m	5	5.6	0	5	0	5.6	1.0	5	4.6	0	5	0	4.6	1.0	0.7328293611703254	2	1	0	1	0	0	0	0.4	0.0	0.2	1	0	0	0	0	2	0	0	1	0	2	0	0.4	0.0	0.0	0	0	0	0	0
29	и наподжеруку доску упал	потом об камень ударил велосипед	sequence_m	4	5.25	0	4	0	5.25	1.0	5	5.6	0	5	0	5.6	1.0	0.7705517503711221	1	1	0	1	0	0	0	0.25	0.0	0.25	0	1	0	0	0	2	1	0	1	0	0	0	0.4	0.0	0.2	1	0	0	0	0
30	потом идут	мужчина лет сорока пяти там	sequence_m	2	4.5	0	2	0	4.5	1.0	5	4.6	0	5	0	4.6	1.0	0.5773502691896257	0	1	0	1	0	0	0	0.0	0.0	0.5	0	0	0	0	0	2	0	0	1	0	2	0	0.4	0.0	0.0	0	0	0	0	0
31	идут	потом идут	restatement_r	1	4.0	0	1	0	4.0	1.0	2	4.5	0	2	0	4.5	1.0	0.6324555320336759	0	1	0	0	0	0	0	0.0	0.0	1.0	0	0	0	0	0	0	1	0	1	0	0	0	0.0	0.0	0.5	0	0	0	0	0
32	три проходящих там	потом идут	joint_m	3	5.333333333333333	0	3	0	5.333333333333333	1.0	2	4.5	0	2	0	4.5	1.0	0.4262708835883467	0	1	0	1	0	1	0	0.0	0.0	0.3333333333333333	0	0	0	0	0	0	1	0	1	0	0	0	0.0	0.0	0.5	0	0	0	0	0
33	мальчики какие-то тоже там	три проходящих там	evaluation_r	4	5.75	0	4	0	5.75	1.0	3	5.333333333333333	0	3	0	5.333333333333333	1.0	0.4779076447896994	1	0	0	1	0	0	0	0.25	0.0	0.0	0	0	0	1	0	0	1	0	1	0	1	0	0.0	0.0	0.3333333333333333	0	0	0	0	0
34	либо соседи там	мальчики какие-то тоже там	evaluation_r	3	4.333333333333333	0	3	0	4.333333333333333	1.0	4	5.75	0	4	0	5.75	1.0	0.6504436355879909	1	0	0	1	0	0	0	0.3333333333333333	0.0	0.0	0	1	0	0	0	1	0	0	1	0	0	0	0.25	0.0	0.0	0	0	0	1	0
35	там вот как-то соседи там	либо соседи там	restatement_r	5	4.2	0	4	0	4.2	0.8	3	4.333333333333333	0	3	0	4.333333333333333	1.0	0.4592142315875907	1	0	0	3	0	0	0	0.2	0.0	0.0	0	0	0	1	0	1	0	0	1	0	0	0	0.3333333333333333	0.0	0.0	0	1	0	0	0
36	помогают ему собрать груши	потом идут	sequence_m	4	5.75	0	4	0	5.75	1.0	2	4.5	0	2	0	4.5	1.0	0.19153585455608457	1	2	0	0	0	0	0	0.25	0.0	0.5	0	0	0	0	1	0	1	0	1	0	0	0	0.0	0.0	0.5	0	0	0	0	0
37	собрать груши	помогают ему собрать груши	restatement_r	2	6.0	0	2	0	6.0	1.0	4	5.75	0	4	0	5.75	1.0	0.7071067811865476	1	1	0	0	0	0	0	0.5	0.0	0.5	0	0	0	0	0	1	2	0	0	0	0	0	0.25	0.0	0.5	0	0	0	0	1
38	он едет там дальше	мужчина лет сорока пяти там	sequence_m	4	3.75	0	4	0	3.75	1.0	5	4.6	0	5	0	4.6	1.0	0.6666666666666666	0	1	0	2	0	0	0	0.0	0.0	0.25	0	0	0	0	1	2	0	0	1	0	2	0	0.4	0.0	0.0	0	0	0	0	0
39	потом	он едет там дальше	sequence_m	1	5.0	0	1	0	5.0	1.0	4	3.75	0	4	0	3.75	1.0	0.408248290463863	0	0	0	1	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	1	0	2	0	0	0	0.0	0.0	0.25	0	0	0	0	1
40	поехал там	потом	evaluation_r	2	4.5	0	2	0	4.5	1.0	1	5.0	0	1	0	5.0	1.0	0.32904137519359195	0	1	0	1	0	0	0	0.0	0.0	0.5	0	0	0	0	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0	0	0	0	0
41	остановился на ней	он едет там дальше	sequence_m	3	5.333333333333333	0	3	0	5.333333333333333	1.0	4	3.75	0	4	0	3.75	1.0	0.7071067811865476	0	1	0	0	0	0	0	0.0	0.0	0.3333333333333333	1	0	0	0	1	0	1	0	2	0	0	0	0.0	0.0	0.25	0	0	0	0	1
42	и идёт он в гору	он едет там дальше	sequence_m	5	2.4	0	5	0	2.4	1.0	4	3.75	0	4	0	3.75	1.0	0.6236095644623235	1	1	0	0	0	0	0	0.2	0.0	0.2	1	1	0	0	1	0	1	0	2	0	0	0	0.0	0.0	0.25	0	0	0	0	1
43	там по боджонках полоницис	пошёл не к мужчина	background_r	4	5.75	0	4	0	5.75	1.0	4	3.75	0	4	0	3.75	1.0	0.5448985520562234	2	0	0	1	0	0	0	0.5	0.0	0.0	1	0	0	0	0	1	1	0	0	0	0	0	0.25	0.0	0.25	1	0	0	1	0
44	пошёл не к мужчина	мужчина лет сорока пяти там	sequence_m	4	3.75	0	4	0	3.75	1.0	5	4.6	0	5	0	4.6	1.0	0.7453559924999299	1	1	0	0	0	0	0	0.25	0.0	0.25	1	0	0	1	0	2	0	0	1	0	2	0	0.4	0.0	0.0	0	0	0	0	0
45	тот с лестницы спускается	пошёл не к мужчина	joint_m	4	5.5	0	4	0	5.5	1.0	4	3.75	0	4	0	3.75	1.0	0.5534292029615151	1	1	0	0	0	0	0	0.25	0.0	0.25	1	0	0	0	0	1	1	0	0	0	0	0	0.25	0.0	0.25	1	0	0	1	0
46	лестница там	тот с лестницы спускается	elaboration_r	2	5.5	0	2	0	5.5	1.0	4	5.5	0	4	0	5.5	1.0	0.6324555320336759	1	0	0	1	0	0	0	0.5	0.0	0.0	0	0	0	0	0	1	1	0	0	0	0	0	0.25	0.0	0.25	1	0	0	0	0
47	и видит	что вторая корзина там вся пустая	evidence_r	2	3.0	0	2	0	3.0	1.0	6	4.666666666666667	0	6	0	4.666666666666667	1.0	0.3481553119113957	0	1	0	0	0	0	0	0.0	0.0	0.5	0	1	0	0	0	1	0	2	1	0	0	0	0.16666666666666666	0.3333333333333333	0.0	0	0	1	0	0
48	что вторая корзина там вся пустая	тот с лестницы спускается	sequence_m	6	4.666666666666667	0	6	0	4.666666666666667	1.0	4	5.5	0	4	0	5.5	1.0	0.5987978359590764	1	0	2	1	0	0	0	0.16666666666666666	0.3333333333333333	0.0	0	0	1	0	0	1	1	0	0	0	0	0	0.25	0.0	0.25	1	0	0	0	0
49	ну и потом как-то всё	мужчина лет сорока пяти там	evaluation_r	5	3.4	0	5	0	3.4	1.0	5	4.6	0	5	0	4.6	1.0	0.769800358919501	0	0	0	2	0	0	0	0.0	0.0	0.0	0	1	0	1	1	2	0	0	1	0	2	0	0.4	0.0	0.0	0	0	0	0	0
50	вот как	ну и потом как-то всё	restatement_r	2	3.0	0	2	0	3.0	1.0	5	3.4	0	5	0	3.4	1.0	0.5773502691896257	0	0	0	1	0	0	0	0.0	0.0	0.0	0	0	0	1	0	0	0	0	2	0	0	0	0.0	0.0	0.0	0	1	0	1	1
51	собирает к себе в фартук	мужчина средних лет на лестнице собирает груши с дерева	sequence_m	5	4.0	0	5	0	4.0	1.0	9	5.222222222222222	0	9	0	5.222222222222222	1.0	0.6030226891555273	1	1	0	0	0	0	0	0.2	0.0	0.2	2	0	0	0	1	5	1	1	0	0	0	0	0.5555555555555556	0.1111111111111111	0.1111111111111111	2	0	0	0	0
52	вот потом спускается вниз	мужчина средних лет на лестнице собирает груши с дерева	sequence_m	4	5.5	0	4	0	5.5	1.0	9	5.222222222222222	0	9	0	5.222222222222222	1.0	0.5559594491425693	0	1	0	2	0	0	0	0.0	0.0	0.25	0	0	0	1	0	5	1	1	0	0	0	0	0.5555555555555556	0.1111111111111111	0.1111111111111111	2	0	0	0	0
53	вытрясает все груши в корзины	вот потом спускается вниз	sequence_m	5	5.0	0	5	0	5.0	1.0	4	5.5	0	4	0	5.5	1.0	0.7230679820688077	2	1	0	0	0	0	0	0.4	0.0	0.2	1	0	0	0	0	0	1	0	2	0	0	0	0.0	0.0	0.25	0	0	0	1	0
54	вот и так ещё раз и ещё раз	вот потом спускается вниз	sequence_m	8	2.5	0	5	0	2.5	0.625	4	5.5	0	4	0	5.5	1.0	0.6395537652956016	2	0	0	3	0	0	0	0.25	0.0	0.0	0	1	0	2	0	0	1	0	2	0	0	0	0.0	0.0	0.25	0	0	0	1	0
55	мимо проезжает мальчик с велосипедом	мужчина средних лет на лестнице собирает груши с дерева	sequence_m	5	6.4	0	5	0	6.4	1.0	9	5.222222222222222	0	9	0	5.222222222222222	1.0	0.674199862463242	2	1	0	1	0	0	0	0.4	0.0	0.2	1	0	0	0	0	5	1	1	0	0	0	0	0.5555555555555556	0.1111111111111111	0.1111111111111111	2	0	0	0	0
56	на велосипеде	мимо проезжает мальчик с велосипедом	restatement_r	2	6.0	0	2	0	6.0	1.0	5	6.4	0	5	0	6.4	1.0	0.5773502691896257	1	0	0	0	0	0	0	0.5	0.0	0.0	1	0	0	0	0	2	1	0	1	0	0	0	0.4	0.0	0.2	1	0	0	0	0
57	вот останавливается	мимо проезжает мальчик с велосипедом	sequence_m	2	9.0	0	2	0	9.0	1.0	5	6.4	0	5	0	6.4	1.0	0.5773502691896257	0	1	0	0	0	0	0	0.0	0.0	0.5	0	0	0	1	0	2	1	0	1	0	0	0	0.4	0.0	0.2	1	0	0	0	0
58	хочет взять одну грушку или две груши	мимо проезжает мальчик с велосипедом	evaluation_r	7	4.428571428571429	0	7	0	4.428571428571429	1.0	5	6.4	0	5	0	6.4	1.0	0.7249365753509313	2	2	0	0	0	2	0	0.2857142857142857	0.0	0.2857142857142857	0	1	0	0	0	2	1	0	1	0	0	0	0.4	0.0	0.2	1	0	0	0	0
59	вот и подумал-подумал	хочет взять одну грушку или две груши	sequence_m	3	6.333333333333333	0	3	0	6.333333333333333	1.0	7	4.428571428571429	0	7	0	4.428571428571429	1.0	0.5694947974514994	0	1	0	0	0	0	0	0.0	0.0	0.3333333333333333	0	0	0	2	0	2	2	0	0	0	2	0	0.2857142857142857	0.0	0.2857142857142857	0	1	0	0	0
60	взял в итоге целую корзину	вот и подумал-подумал	cause_r	5	4.4	0	5	0	4.4	1.0	3	6.333333333333333	0	3	0	6.333333333333333	1.0	0.5704048993716141	2	1	1	0	0	0	0	0.4	0.2	0.2	1	0	0	0	0	0	1	0	0	0	0	0	0.0	0.0	0.3333333333333333	0	0	0	2	0
61	дальше сюжет идёт так	мимо проезжает мальчик с велосипедом	evaluation_r	4	4.5	0	4	0	4.5	1.0	5	6.4	0	5	0	6.4	1.0	0.6454972243679028	1	1	0	2	0	0	0	0.25	0.0	0.25	0	0	0	0	0	2	1	0	1	0	0	0	0.4	0.0	0.2	1	0	0	0	0
62	как будто бы он помогает этому  мужчине средних лет	дальше сюжет идёт так	evaluation_r	9	4.666666666666667	0	9	0	4.666666666666667	1.0	4	4.5	0	4	0	4.5	1.0	0.2156225237317571	2	1	1	1	0	0	0	0.2222222222222222	0.1111111111111111	0.1111111111111111	0	0	0	2	1	1	1	0	2	0	0	0	0.25	0.0	0.25	0	0	0	0	0
63	но на самом деле всё будет раскрыто позже	дальше сюжет идёт так	antithesis_r	8	4.25	0	8	0	4.25	1.0	4	4.5	0	4	0	4.5	1.0	0.33677244633737974	1	1	1	1	1	0	0	0.125	0.125	0.125	1	1	0	0	1	1	1	0	2	0	0	0	0.25	0.0	0.25	0	0	0	0	0
64	вот мальчик значит едет по полю	ну и у него слетает шляпа	cause_r	6	4.333333333333333	0	6	0	4.333333333333333	1.0	6	3.3333333333333335	0	6	0	3.3333333333333335	1.0	0.6486699518462189	2	2	0	0	0	0	0	0.3333333333333333	0.0	0.3333333333333333	1	0	0	1	0	1	1	0	0	0	0	0	0.16666666666666666	0.0	0.16666666666666666	1	1	0	1	1
65	вот навстречу ему едет девочка	вот мальчик значит едет по полю	sequence_m	5	5.2	0	5	0	5.2	1.0	6	4.333333333333333	0	6	0	4.333333333333333	1.0	0.8032193289024988	1	1	0	1	0	0	0	0.2	0.0	0.2	0	0	0	1	1	2	2	0	0	0	0	0	0.3333333333333333	0.0	0.3333333333333333	1	0	0	1	0
66	вот мальчик с ней соприкасается по касательной	вот мальчик значит едет по полю	sequence_m	7	5.714285714285714	0	7	0	5.714285714285714	1.0	6	4.333333333333333	0	6	0	4.333333333333333	1.0	0.5752525386323555	2	1	0	0	0	0	0	0.2857142857142857	0.0	0.14285714285714285	2	0	0	1	1	2	2	0	0	0	0	0	0.3333333333333333	0.0	0.3333333333333333	1	0	0	1	0
67	ну и у него слетает шляпа	мужчина средних лет на лестнице собирает груши с дерева	sequence_m	6	3.3333333333333335	0	6	0	3.3333333333333335	1.0	9	5.222222222222222	0	9	0	5.222222222222222	1.0	0.6466697906828632	1	1	0	0	0	0	0	0.16666666666666666	0.0	0.16666666666666666	1	1	0	1	1	5	1	1	0	0	0	0	0.5555555555555556	0.1111111111111111	0.1111111111111111	2	0	0	0	0
68	красивая шляпа такая	ну и у него слетает шляпа	evaluation_r	3	6.0	0	3	0	6.0	1.0	6	3.3333333333333335	0	6	0	3.3333333333333335	1.0	0.6633249580710799	1	0	1	0	0	0	0	0.3333333333333333	0.3333333333333333	0.0	0	0	0	0	0	1	1	0	0	0	0	0	0.16666666666666666	0.0	0.16666666666666666	1	1	0	1	1
69	вот	красивая шляпа такая	evaluation_r	1	3.0	0	1	0	3.0	1.0	3	6.0	0	3	0	6.0	1.0	0.316227766016838	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	1	0	1	0	1	0	0	0	0	0.3333333333333333	0.3333333333333333	0.0	0	0	0	0	0
70	с длинными большими полами	красивая шляпа такая	elaboration_r	4	5.75	0	4	0	5.75	1.0	3	6.0	0	3	0	6.0	1.0	0.468534581901497	1	0	2	0	0	0	0	0.25	0.5	0.0	1	0	0	0	0	1	0	1	0	0	0	0	0.3333333333333333	0.3333333333333333	0.0	0	0	0	0	0
71	соответственно мальчик по касательной задевает девочку	падает	cause_r	6	8.166666666666666	0	6	0	8.166666666666666	1.0	1	6.0	0	1	0	6.0	1.0	0.00033546262790251185	3	1	0	1	0	0	0	0.5	0.0	0.16666666666666666	1	0	0	0	0	0	1	0	0	0	0	0	0.0	0.0	1.0	0	0	0	0	0
72	падает	ну и у него слетает шляпа	cause_r	1	6.0	0	1	0	6.0	1.0	6	3.3333333333333335	0	6	0	3.3333333333333335	1.0	0.447213595499958	0	1	0	0	0	0	0	0.0	0.0	1.0	0	0	0	0	0	1	1	0	0	0	0	0	0.16666666666666666	0.0	0.16666666666666666	1	1	0	1	1
73	рассыпает все груши	падает	cause_r	3	5.666666666666667	0	3	0	5.666666666666667	1.0	1	6.0	0	1	0	6.0	1.0	0.10457743836085044	1	1	0	0	0	0	0	0.3333333333333333	0.0	0.3333333333333333	0	0	0	0	0	0	1	0	0	0	0	0	0.0	0.0	1.0	0	0	0	0	0
74	которые у него в корзинке	рассыпает все груши	elaboration_r	5	4.2	0	5	0	4.2	1.0	3	5.666666666666667	0	3	0	5.666666666666667	1.0	0.5795196904863656	1	0	0	0	0	0	0	0.2	0.0	0.0	2	0	0	0	2	1	1	0	0	0	0	0	0.3333333333333333	0.0	0.3333333333333333	0	0	0	0	0
75	и соответственно подходят мальчишки	мужчина средних лет на лестнице собирает груши с дерева	sequence_m	4	8.0	0	4	0	8.0	1.0	9	5.222222222222222	0	9	0	5.222222222222222	1.0	0.674199862463242	1	1	0	1	0	0	0	0.25	0.0	0.25	0	1	0	0	0	5	1	1	0	0	0	0	0.5555555555555556	0.1111111111111111	0.1111111111111111	2	0	0	0	0
76	три парня	и соответственно подходят мальчишки	elaboration_r	2	4.0	0	2	0	4.0	1.0	4	8.0	0	4	0	8.0	1.0	0.447213595499958	1	0	0	0	0	1	0	0.5	0.0	0.0	0	0	0	0	0	1	1	0	1	0	0	0	0.25	0.0	0.25	0	1	0	0	0
